Plant_ID,Name,Type,Area,Water_Need,Fertilizer,Plant_Date,Harvest_Date
1,Onion,Grain,58,4,Urea,2023-03-31,2023-10-17
2,Tomato,Fruit,103,4,Compost,2023-01-29,2023-08-18
3,Wheat,Grain,163,3,Urea,2023-05-07,2023-06-10
4,Onion,Fruit,146,1,Urea,2023-01-05,2023-11-21
5,Barley,Grain,144,8,Compost,2023-04-07,2023-06-25
6,Onion,Fruit,185,7,NPK,2023-04-07,2023-08-26
7,Corn,Vegetable,38,6,Compost,2023-05-26,2023-12-12
8,Wheat,Grain,95,3,NPK,2023-04-03,2023-08-28
9,Corn,Fruit,172,5,NPK,2023-05-14,2023-12-03
10,Wheat,Fruit,92,4,Urea,2023-04-21,2023-09-07
11,Potato,Fruit,75,8,NPK,2023-02-19,2023-07-06
12,Tomato,Grain,49,2,NPK,2023-04-11,2023-07-24
13,Tomato,Vegetable,20,6,NPK,2023-02-16,2023-09-13
14,Tomato,Fruit,13,9,NPK,2023-02-07,2023-11-13
15,Barley,Grain,174,3,Compost,2023-03-25,2023-09-06
16,Barley,Fruit,141,8,Compost,2023-03-08,2023-08-01
17,Corn,Fruit,13,1,NPK,2023-04-13,2023-06-17
18,Wheat,Vegetable,121,6,NPK,2023-05-05,2023-11-03
19,Tomato,Grain,134,1,Urea,2023-01-27,2023-10-28
20,Potato,Vegetable,199,5,Urea,2023-03-10,2023-12-18
21,Corn,Vegetable,51,2,NPK,2023-04-08,2023-08-29
22,Barley,Vegetable,32,5,Compost,2023-04-10,2023-12-14
23,Corn,Vegetable,54,9,NPK,2023-02-04,2023-10-12
24,Barley,Vegetable,185,8,Urea,2023-02-12,2023-08-14
25,Wheat,Vegetable,171,7,Urea,2023-03-24,2023-07-01
26,Wheat,Grain,68,3,Compost,2023-02-16,2023-06-29
27,Wheat,Vegetable,43,5,Compost,2023-04-27,2023-10-05
28,Wheat,Vegetable,10,6,Urea,2023-05-11,2023-12-28
29,Tomato,Fruit,51,9,Compost,2023-01-26,2023-12-31
30,Barley,Vegetable,106,8,Urea,2023-02-13,2023-06-08
31,Onion,Vegetable,141,8,NPK,2023-04-09,2023-12-05
32,Potato,Fruit,112,2,Compost,2023-01-25,2023-11-30
33,Barley,Vegetable,199,4,Urea,2023-03-11,2023-10-21
34,Onion,Grain,36,8,NPK,2023-01-25,2023-12-22
35,Tomato,Fruit,119,1,Compost,2023-02-02,2023-11-13
36,Onion,Fruit,90,9,NPK,2023-01-20,2023-10-25
37,Corn,Grain,115,8,NPK,2023-01-25,2023-06-13
38,Onion,Grain,84,7,Compost,2023-06-01,2023-12-23
39,Barley,Grain,84,3,Urea,2023-05-25,2023-12-14
40,Tomato,Grain,142,8,NPK,2023-01-30,2023-06-25
41,Onion,Vegetable,105,1,NPK,2023-02-23,2023-12-23
42,Tomato,Vegetable,46,5,NPK,2023-04-11,2023-09-13
43,Tomato,Vegetable,138,8,Urea,2023-04-06,2023-07-25
44,Tomato,Grain,47,6,Compost,2023-03-14,2023-10-30
45,Corn,Vegetable,130,7,NPK,2023-04-03,2023-08-18
46,Potato,Fruit,99,8,Compost,2023-01-24,2023-08-06
47,Tomato,Fruit,12,7,Compost,2023-05-17,2023-08-15
48,Corn,Vegetable,77,6,NPK,2023-03-25,2023-06-27
49,Onion,Grain,141,2,NPK,2023-02-14,2023-06-10
50,Tomato,Vegetable,32,7,Urea,2023-01-31,2023-10-09
51,Tomato,Vegetable,87,4,NPK,2023-05-14,2023-12-29
52,Onion,Grain,199,3,Compost,2023-04-22,2023-11-28
53,Tomato,Vegetable,35,8,Compost,2023-03-03,2023-08-20
54,Corn,Vegetable,131,5,Urea,2023-03-01,2023-11-07
55,Wheat,Fruit,63,9,Compost,2023-03-02,2023-10-18
56,Potato,Fruit,118,5,Urea,2023-05-04,2023-10-14
57,Onion,Vegetable,127,3,Compost,2023-03-26,2023-06-15
58,Tomato,Fruit,59,6,Compost,2023-04-24,2023-11-09
59,Wheat,Fruit,46,8,Urea,2023-03-20,2023-11-26
60,Barley,Vegetable,142,5,Compost,2023-03-23,2023-08-12
61,Onion,Fruit,182,4,Urea,2023-02-23,2023-10-23
62,Wheat,Vegetable,71,6,Urea,2023-04-02,2023-11-17
63,Tomato,Grain,101,6,Urea,2023-01-15,2023-09-03
64,Barley,Grain,84,7,NPK,2023-02-26,2023-10-01
65,Onion,Vegetable,189,7,NPK,2023-02-21,2023-07-25
66,Potato,Vegetable,167,9,Urea,2023-02-09,2023-06-28
67,Corn,Fruit,141,7,Compost,2023-05-06,2023-08-11
68,Onion,Grain,59,9,NPK,2023-05-08,2023-06-09
69,Tomato,Grain,65,4,Compost,2023-03-03,2023-09-24
70,Corn,Vegetable,60,4,NPK,2023-05-19,2023-07-16
71,Corn,Vegetable,52,1,Compost,2023-04-20,2023-09-11
72,Corn,Vegetable,67,5,Compost,2023-04-22,2023-08-01
73,Barley,Fruit,39,8,NPK,2023-04-18,2023-10-20
74,Tomato,Fruit,143,9,NPK,2023-03-24,2023-06-16
75,Wheat,Grain,189,7,Compost,2023-02-25,2023-09-20
76,Barley,Vegetable,27,7,NPK,2023-04-16,2023-09-15
77,Wheat,Fruit,45,5,NPK,2023-03-05,2023-07-15
78,Onion,Grain,103,1,Compost,2023-03-16,2023-10-16
79,Barley,Grain,153,1,Compost,2023-04-22,2023-11-29
80,Corn,Grain,21,8,Compost,2023-05-11,2023-07-09
81,Barley,Vegetable,181,7,Compost,2023-01-03,2023-06-02
82,Wheat,Grain,76,6,NPK,2023-05-05,2023-12-28
83,Onion,Vegetable,83,7,Compost,2023-04-09,2023-08-14
84,Tomato,Vegetable,157,9,Urea,2023-04-01,2023-11-23
85,Tomato,Fruit,64,6,NPK,2023-05-07,2023-10-02
86,Barley,Grain,142,5,Urea,2023-02-09,2023-10-04
87,Potato,Vegetable,164,8,Compost,2023-05-22,2023-09-29
88,Potato,Vegetable,172,5,NPK,2023-01-16,2023-12-26
89,Corn,Fruit,60,8,NPK,2023-02-13,2023-07-16
90,Barley,Grain,49,7,Urea,2023-02-24,2023-10-11
91,Corn,Vegetable,21,9,NPK,2023-01-28,2023-08-23
92,Potato,Grain,194,9,Compost,2023-04-23,2023-09-05
93,Tomato,Fruit,52,7,Compost,2023-01-30,2023-12-24
94,Corn,Grain,44,7,Compost,2023-01-25,2023-10-07
95,Onion,Fruit,148,3,Urea,2023-03-18,2023-10-05
96,Onion,Fruit,176,6,NPK,2023-02-11,2023-12-20
97,Wheat,Grain,110,4,NPK,2023-04-19,2023-08-22
98,Barley,Fruit,35,5,Compost,2023-03-17,2023-06-17
99,Onion,Vegetable,127,8,Urea,2023-05-11,2023-12-04
100,Tomato,Vegetable,91,3,NPK,2023-05-14,2023-06-10
